ko	pathway	product	map
V1244220	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1244255	K09819	Transporters	manganese/iron transport system permease protein	ko02000
V1244259	K03475	Ascorbate and aldarate metabolism	ascorbate PTS system EIIC component	map00053
V1244282	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1244286	K01790	O-Antigen nucleotide sugar biosynthesis	dTDP-4-dehydrorhamnose 3,5-epimerase	map00541
V1244584	K03076	Bacterial secretion system	preprotein translocase subunit SecY	map03070
V1244585	K02988	Ribosome	small subunit ribosomal protein S5	map03010
V1244896	K03387	Enzymes with EC numbers	NADH-dependent peroxiredoxin subunit F	99980
V1244981	K01712	Histidine metabolism	urocanate hydratase	map00340
V1245090	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1245139	K00554	Transfer RNA biogenesis	tRNA (guanine37-N1)-methyltransferase	ko03016
V1245166	K06180	Ribosome biogenesis	23S rRNA pseudouridine1911/1915/1917 synthase	ko03009
V1245245	K01873	Aminoacyl-tRNA biosynthesis	valyl-tRNA synthetase	map00970
V1245257	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1245285	K01478	Arginine biosynthesis	arginine deiminase	map00220
V1245343	K02931	Ribosome	large subunit ribosomal protein L5	map03010
V1245344	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1245503	K11031	Cytolysis	thiol-activated cytolysin	ko02042
V1245547	K02484	Two-component system	two-component system, OmpR family, sensor kinase	ko02022
V1245608	K01006	Pyruvate metabolism	pyruvate, orthophosphate dikinase	map00620
V1245732	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1245734	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1245759	K02358	Translation	elongation factor Tu	ko03012
V1245768	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1245776	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1245777	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1245907	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1245924	K01006	Pyruvate metabolism	pyruvate, orthophosphate dikinase	map00620
V1245934	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1246156	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1246206	K00260	Alanine, aspartate and glutamate metabolism	glutamate dehydrogenase	map00250
V1246245	K02470	DNA replication	DNA gyrase subunit B	map03030
V1246296	K07478	Replication and repair	putative ATPase	99976
V1246373	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1246445	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1246520	K03625	Transcription machinery	transcription antitermination protein NusB	ko03021
V1246526	K01372	Peptidases and inhibitors	bleomycin hydrolase	ko01002
V1246744	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1246769	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1246773	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1246774	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1246878	K02967	Ribosome	small subunit ribosomal protein S2	map03010
V1246892	K01710	Lipopolysaccharide biosynthesis	dTDP-glucose 4,6-dehydratase	map00540
V1246911	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1246962	K02878	Ribosome	large subunit ribosomal protein L16	map03010
V1247015	K12257	Protein export	SecD/SecF fusion protein	map03060
V1247051	K01803	Glycolysis / Gluconeogenesis	triosephosphate isomerase (TIM)	map00010
V1247052	K00927	Glycolysis / Gluconeogenesis	phosphoglycerate kinase	map00010
V1247054	K02358	Translation	elongation factor Tu	ko03012
V1247112	K03529	Chromosome and associated proteins	chromosome segregation protein	ko03036
V1247150	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1247178	K01256	Glutathione metabolism	aminopeptidase N	map00480
V1247188	K02961	Ribosome	small subunit ribosomal protein S17	map03010
V1247191	K01624	Glycolysis / Gluconeogenesis	fructose-bisphosphate aldolase, class II	map00010
V1247332	K10108	ABC transporters	maltose/maltodextrin transport system substrate-binding protein	map02010
V1247337	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1247348	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1247383	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1247491	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1247494	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1247509	K02965	Ribosome	small subunit ribosomal protein S19	map03010
V1247645	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1247649	K02358	Translation	elongation factor Tu	ko03012
V1247739	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1248129	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1248207	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1248231	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1248298	K02033	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1248402	K13378	Oxidative phosphorylation	NADH-quinone oxidoreductase subunit C/D	map00190
V1248493	K00705	Starch and sucrose metabolism	4-alpha-glucanotransferase	map00500
V1248523	K02895	Ribosome	large subunit ribosomal protein L24	map03010
V1248593	K11031	Cytolysis	thiol-activated cytolysin	ko02042
V1248595	K00239	Citrate cycle (TCA cycle)	succinate dehydrogenase flavoprotein subunit	map00020
V1248752	K00986	Enzymes with EC numbers	RNA-directed DNA polymerase	99980
V1248928	K03326	Transporters	C4-dicarboxylate transporter, DcuC family	ko02000
V1248933	K02950	Ribosome	small subunit ribosomal protein S12	map03010
V1248992	K02996	Ribosome	small subunit ribosomal protein S9	map03010
V1249034	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1249113	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1249121	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1249122	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1249247	K01915	Alanine aspartate and glutamate metabolism	glutamine synthetase	map00250
V1249266	K02520	Translation factors	translation initiation factor IF-3	ko03012
V1249444	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1249468	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1249544	K03286	Transporters	OmpA-OmpF porin, OOP family	ko02000
V1249839	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1249856	K04078	Chaperones and folding catalysts	chaperonin GroES	ko03110
V1249878	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1250111	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1250278	K00611	Arginine biosynthesis	ornithine carbamoyltransferase	map00220
V1250356	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1250768	K02895	Ribosome	large subunit ribosomal protein L24	map03010
V1250930	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1250956	K00648	Fatty acid biosynthesis	3-oxoacyl-[acyl-carrier-protein] synthase III	map00061
V1251028	K10112	ABC transporters	multiple sugar transport system ATP-binding protein	map02010
V1251462	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1251489	K02992	Ribosome	small subunit ribosomal protein S7	map03010
V1251876	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1252114	K03737	Citrate cycle (TCA cycle)	pyruvate-ferredoxin/flavodoxin oxidoreductase	map00620
V1252260	K02963	Ribosome	small subunit ribosomal protein S18	map03010
V1253119	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1253708	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1253725	K07386	Peptidases and inhibitors	putative endopeptidase	ko01002
V1254179	K02961	Ribosome	small subunit ribosomal protein S17	map03010
V1254824	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1255100	K03086	Transcription machinery	RNA polymerase primary sigma factor	ko03021
V1255751	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256128	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256155	K00571	Prokaryotic defense system	site-specific DNA-methyltransferase (adenine-specific)	ko02048
V1256156	K02796	Phosphotransferase system (PTS)	mannose PTS system EIID component	map02060
V1256157	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256180	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256181	K07335	ABC transporters	basic membrane protein A and related proteins	map02010
V1256184	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256195	K03111	DNA replication	single-strand DNA-binding protein	map03030
V1256199	K10112	ABC transporters	multiple sugar transport system ATP-binding protein	map02010
V1256203	K00158	Pyruvate metabolism	pyruvate oxidase	map00620
V1256223	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1256280	K10040	ABC transporters	aspartate/glutamate/glutamine transport system permease protein	map02010
V1256283	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256289	K08659	Peptidases and inhibitors	dipeptidase	ko01002
V1256331	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256334	K02044	ABC transporters	phosphonate transport system substrate-binding protein	map02010
V1256354	K07497	Replication and repair	putative transposase	99976
V1256398	K03217	Protein export	YidC/Oxa1 family membrane protein insertase	map03060
V1256413	K08659	Peptidases and inhibitors	dipeptidase	ko01002
V1256442	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1256464	K03798	Cell cycle	cell division protease FtsH	map04110
V1256476	K02996	Ribosome	small subunit ribosomal protein S9	map03010
V1256761	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1256954	K02033	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1256965	K01537	Enzymes with EC numbers	P-type Ca2+ transporter type 2C	99980
V1256978	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257298	K02914	Ribosome	large subunit ribosomal protein L34	map03010
V1257299	K00033	Pentose phosphate pathway	6-phosphogluconate dehydrogenase	map00030
V1257300	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257303	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257304	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257307	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257308	K01621	Pentose phosphate pathway	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	map00030
V1257309	K10108	ABC transporters	maltose/maltodextrin transport system substrate-binding protein	map02010
V1257310	K01215	Enzymes with EC numbers	glucan 1,6-alpha-glucosidase	99980
V1257311	K00691	Starch and sucrose metabolism	maltose phosphorylase	map00500
V1257320	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257323	K01953	Alanine, aspartate and glutamate metabolism	asparagine synthase (glutamine-hydrolysing)	map00250
V1257326	K11717	Selenocompound metabolism	cysteine desulfurase / selenocysteine lyase	map00450
V1257334	K00074	Butanoate metabolism	3-hydroxybutyryl-CoA dehydrogenase	map00650
V1257335	K01874	Aminoacyl-tRNA biosynthesis	methionyl-tRNA synthetase	map00970
V1257336	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257337	K01514	Purine metabolism	exopolyphosphatase	map00230
V1257338	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1257339	K02779	Phosphotransferase system (PTS)	glucose PTS system EIICB or EIICBA component	map02060
V1257366	K00761	Pyrimidine metabolism	uracil phosphoribosyltransferase	map00240
V1257375	K02945	Ribosome	small subunit ribosomal protein S1	map03010
V1257379	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1257385	K02519	Translation factors	translation initiation factor IF-2	ko03012
V1257387	K01258	Peptidases and inhibitors	tripeptide aminopeptidase	ko01002
V1257392	K02529	Transcription factors	LacI family transcriptional regulator, galactose operon repressor	ko03000
V1257428	K01835	Glycolysis / Gluconeogenesis	phosphoglucomutase	map00010
V1257429	K00016	Pyruvate metabolism	L-lactate dehydrogenase	map00620
V1257430	K05884	Citrate cycle (TCA cycle)	L-2-hydroxycarboxylate dehydrogenase (NAD+)	map00680
V1257431	K01643	Two-component system	citrate lyase subunit alpha / citrate CoA-transferase	map02020
V1257449	K03319	Transport	divalent anion:Na+ symporter, DASS family	99977
V1257460	K00790	Peptidoglycan biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	map00550
V1257469	K10110	ABC transporters	maltose/maltodextrin transport system permease protein	map02010
V1257520	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1257540	K06950	Function unknown	uncharacterized protein	99997
V1257687	K03234	Translation factors	elongation factor 2	ko03012
V1257689	K13274	Chaperones and folding catalysts	cell wall-associated protease	ko03110
V1257733	K03231	Translation factors	elongation factor 1-alpha	ko03012
V1258060	K07006	Function unknown	uncharacterized protein	99997
V1258090	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1258111	K10041	ABC transporters	aspartate/glutamate/glutamine transport system ATP-binding protein	map02010
V1258567	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1259694	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1262716	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1263201	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1263209	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1263210	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1263212	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1263214	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1263219	K13274	Chaperones and folding catalysts	cell wall-associated protease	ko03110
V1263274	K06237	ECM-receptor interaction	collagen type IV alpha	map04512
V1263283	K06237	ECM-receptor interaction	collagen type IV alpha	map04512
V1263899	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1263962	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1264072	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1264073	K02687	Ribosome biogenesis	ribosomal protein L11 methyltransferase	ko03009
V1264115	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265026	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265028	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265029	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265051	K08217	Antimicrobial resistance genes	MFS transporter, DHA3 family, macrolide efflux protein	ko01504
V1265052	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1265059	K07497	Replication and repair	putative transposase	99976
V1265063	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265067	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265074	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265081	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265089	K03723	Nucleotide excision repair	transcription-repair coupling factor (superfamily II helicase)	map03420
V1265104	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265105	K09153	Structural proteins	small membrane protein	99992
V1265122	K01463	Enzymes with EC numbers	N-acetylglucosamine malate deacetylase 1	99980
V1265159	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265160	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1265163	K02108	Oxidative phosphorylation	F-type H+-transporting ATPase subunit a	map00190
V1265169	K02433	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	map00970
V1265170	K02343	DNA replication	DNA polymerase III subunit gamma/tau	map03030
V1265175	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265179	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265185	K02536	Lipopolysaccharide biosynthesis	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	map00540
V1265187	K01924	Peptidoglycan biosynthesis	UDP-N-acetylmuramate--alanine ligase	map00550
V1265189	K07739	Transfer RNA biogenesis	elongator complex protein 3 (tRNA carboxymethyluridine synthase)	ko03016
V1265191	K01451	Peptidases and inhibitors	hippurate hydrolase	ko01002
V1265195	K01784	Amino sugar and nucleotide sugar metabolism	UDP-glucose 4-epimerase	map00520
V1265198	K02434	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B	map00970
V1265235	K02014	Transporters	iron complex outermembrane recepter protein	ko02000
V1265243	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265244	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1265250	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1265252	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265257	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265269	K01494	Pyrimidine metabolism	dCTP deaminase	map00240
V1265270	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1265292	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265304	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1265314	K02358	Translation	elongation factor Tu	ko03012
V1265325	K00962	RNA degradation	polyribonucleotide nucleotidyltransferase	map03018
V1265326	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265327	K01854	Galactose metabolism	UDP-galactopyranose mutase	map00052
V1265356	K00986	Enzymes with EC numbers	RNA-directed DNA polymerase	99980
V1265357	K00849	Galactose metabolism	galactokinase	map00052
V1265362	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265367	K06997	Amino acid metabolism	PLP dependent protein	99985
V1265368	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1265403	K01873	Aminoacyl-tRNA biosynthesis	valyl-tRNA synthetase	map00970
V1265406	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1265423	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265424	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1265438	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265449	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1265462	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1265496	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265500	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265502	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265505	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265507	K02032	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1265513	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265517	K10243	NotAssigned	NotAssigned	NotAssigned
V1265520	K02469	DNA replication	DNA gyrase subunit A	map03030
V1265536	K13747	Arginine and proline metabolism	carboxynorspermidine decarboxylase	map00330
V1265543	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265552	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1265555	K03147	Thiamine metabolism	phosphomethylpyrimidine synthase	map00730
V1265556	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265557	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265558	K01881	Aminoacyl-tRNA biosynthesis	prolyl-tRNA synthetase	map00970
V1265559	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1265566	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1265567	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265568	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1265570	K03737	Citrate cycle (TCA cycle)	pyruvate-ferredoxin/flavodoxin oxidoreductase	map00620
V1265579	K00943	Pyrimidine metabolism	dTMP kinase	map00240
V1265582	K02358	Translation	elongation factor Tu	ko03012
V1265590	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265596	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1265600	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265603	K05592	RNA degradation	ATP-dependent RNA helicase DeaD	map03018
V1265604	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265614	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265618	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1265624	K09155	Function unknown	uncharacterized protein	99997
V1265637	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265647	K03655	DNA repair and recombination proteins	ATP-dependent DNA helicase RecG	ko03400
V1265648	K07030	Enzymes with EC numbers	fatty acid kinase	99980
V1265650	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265656	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265657	K03150	Thiamine metabolism	2-iminoacetate synthase	map00730
V1265659	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265662	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265672	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265674	K03737	Citrate cycle (TCA cycle)	pyruvate-ferredoxin/flavodoxin oxidoreductase	map00620
V1265676	K03615	Enzymes with EC numbers	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C	99980
V1265687	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265692	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265693	K06147	Transporters	ATP-binding cassette, subfamily B, bacterial	ko02000
V1265700	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265723	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265731	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265746	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265749	K01516	Virion - Enterovirus	Enterovirus protein 2C	map03263
V1265764	K13734	Bacterial invasion of epithelial cells	fibronectin-binding protein 1	map05100
V1265784	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265791	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265803	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265810	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1265840	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265842	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265853	K01938	One carbon pool by folate	formate--tetrahydrofolate ligase	map00670
V1265856	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265874	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265878	K00526	Purine metabolism	ribonucleoside-diphosphate reductase beta chain	map00230
V1265881	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265886	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265904	K03523	Biotin metabolism	biotin transport system substrate-specific component	map00780
V1265910	K03687	Chaperones and folding catalysts	molecular chaperone GrpE	ko03110
V1265913	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265915	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265922	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265923	K11533	Fatty acid biosynthesis	fatty acid synthase, bacteria type	map00061
V1265931	K01990	Transporters	ABC-2 type transport system ATP-binding protein	ko02000
V1265933	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265939	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265946	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265954	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265964	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265966	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1265988	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266006	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266011	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266020	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1266024	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266037	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266052	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266066	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266068	K02902	Ribosome	large subunit ribosomal protein L28	map03010
V1266080	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266085	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266101	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266103	K03260	Translation factors	translation initiation factor 4G	ko03012
V1266104	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266110	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266113	K02014	Transporters	iron complex outermembrane recepter protein	ko02000
V1266115	K03601	Mismatch repair	exodeoxyribonuclease VII large subunit	map03430
V1266125	K00656	Pyruvate metabolism	formate C-acetyltransferase	map00620
V1266128	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266129	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1266131	K01129	Purine metabolism	dGTPase	map00230
V1266138	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1266145	K00789	Cysteine and methionine metabolism	S-adenosylmethionine synthetase	map00270
V1266147	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266148	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266152	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266157	K03665	Ribosome biogenesis	GTPase	ko03009
V1266160	K02025	Transporters	multiple sugar transport system permease protein	ko02000
V1266166	K01810	Glycolysis / Gluconeogenesis	glucose-6-phosphate isomerase	map00010
V1266170	K01595	Pyruvate metabolism	phosphoenolpyruvate carboxylase	map00620
V1266177	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1266179	K02517	Lipopolysaccharide biosynthesis	Kdo2-lipid IVA lauroyltransferase/acyltransferase	map00540
V1266183	K03699	Bacterial toxins	magnesium and cobalt exporter, CNNM family	ko02042
V1266189	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266192	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266194	K02040	Two-component system	phosphate transport system substrate-binding protein	map02010
V1266203	K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1266206	K00812	Alanine aspartate and glutamate metabolism	aspartate aminotransferase	map00250
V1266213	K11189	NotAssigned	NotAssigned	NotAssigned
V1266214	K03684	Transfer RNA biogenesis	ribonuclease D	ko03016
V1266234	K02897	Ribosome	large subunit ribosomal protein L25	map03010
V1266247	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266256	K01462	Enzymes with EC numbers	peptide deformylase	99980
V1266258	K01740	Cysteine and methionine metabolism	O-acetylhomoserine (thiol)-lyase	map00270
V1266268	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266274	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266282	K00655	Glycerophospholipid metabolism	1-acyl-sn-glycerol-3-phosphate acyltransferase	map00564
V1266286	K02435	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	map00970
V1266287	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1266304	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266323	K03313	Sodium-proton antiport	Na+:H+ antiporter, NhaA family	ko02000
V1266332	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266333	K03496	Chromosome and associated proteins	chromosome partitioning protein	ko03036
V1266337	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266346	K01462	Enzymes with EC numbers	peptide deformylase	99980
V1266353	K01591	Pyrimidine metabolism	orotidine-5'-phosphate decarboxylase	map00240
V1266354	K01938	One carbon pool by folate	formate--tetrahydrofolate ligase	map00670
V1266363	K03293	Transport	amino acid transporter, AAT family	99977
V1266391	K06020	Transfer RNA biogenesis	energy-dependent translational throttle protein EttA	ko03016
